"","Anabaenopsis_circularis","Aphanizomenon_sp.","Aphanocapsa_sp.","Aphanothece_sp.","Chroococcus_sp.","Cylindrospermopsis_raciborskii","Lyngbya_sp.","Merismopedia_elegans","Merismopedia_punctata","Merismopedia_tenuissima","Microcystis_flosaquae","Pseudanabaena_sp.","Raphidiopsis_sp.","Spirulina_major"
"FJ2015024",0,0,0,192480.9524,155909.7556,4812.02381,0,0,19248.09524,0,0,2260691.391,347187.6692,0
"FJ2015031",0,0,0,101052.5,25263.125,0,0,0,25263.125,0,0,574736.0938,0,0
"FJ2015041",0,0,0,129347.2,0,0,0,0,0,0,0,1810860.8,32336.8,97010.4
"FJ2015042",0,0,0,388041.6,32336.8,0,0,0,56589.4,24252.6,0,590146.6,40421,97010.4
"FJ2015043",0,0,0,0,25263.125,0,0,0,0,15157.875,0,111157.75,0,257683.875
"FJ2015044",0,0,0,89824.44444,56140.27778,0,0,0,0,33684.16667,0,842104.1667,0,830876.1111
"FJ2015051",0,0,0,0,94670.35088,0,0,0,0,50526.31579,0,32620.48246,64000,44321.27193
"FJ2015071",0,0,0,0,134736.6667,0,0,0,0,0,0,15546.53846,0,0
"FJ2015072",0,0,0,0,2258820.588,0,0,0,0,0,0,0,0,0
"FJ2015073",0,8982.444444,0,0,26947.33333,0,4491.222222,0,35929.77778,0,0,26947.33333,0,0
"FJ2016023",0,0,0,0,177782.1022,7578.947368,0,0,5052.631579,2526.315789,0,62335.31518,79901.97674,0
"FJ2016039",0,0,0,0,98587.80488,0,9858.780488,0,0,0,0,49293.90244,39435.12195,0
"FJ2016040",0,0,0,0,9533.254717,0,0,1906.650943,0,0,0,0,0,0
"FJ2016047",0,0,0,0,343741.8761,0,0,0,0,5786.073854,0,3259.758065,0,0
"FJ2016065",0,3016.492537,0,0,111610.2239,0,0,0,0,0,0,0,21115.44776,0
"FJ2016080",0,0,0,0,58385.88889,0,0,0,17964.88889,0,0,0,2245.611111,0
"FJ2017071",0,0,0,0,93511.26866,0,0,12065.97015,0,0,3511197.313,0,0,0
"FJ2017072",0,0,0,0,109136.7,0,0,8084.2,0,0,194020.8,0,0,0
"FJ2017073",0,0,0,0,195789.2188,0,0,31578.90625,0,0,151578.75,18947.34375,12631.5625,0
"FJ2017074",0,0,0,0,117351.2903,0,0,52156.12903,0,0,0,0,6519.516129,0
"FJ2017075",0,0,0,0,50526.25,0,0,19248.09524,9624.047619,0,0,0,2406.011905,0
"FJ2017090",0,0,0,0,20414.64646,0,0,0,14290.25253,0,0,0,2041.464646,0
"FJ2017091",0,0,0,30221.30841,79330.93458,0,0,1888.831776,3777.663551,0,0,0,5666.495327,0
"FJ2017092",0,2807.013889,0,0,84210.41667,0,0,2807.013889,9824.548611,0,0,0,2807.013889,0
"FJ2017093",0,5614.027778,0,0,39298.19444,0,0,0,8421.041667,0,0,2807.013889,5614.027778,0
"FJ2017094",0,0,0,0,85096.84211,2021050,0,0,10637.10526,0,0,0,63822.63158,0
"FJ2017096",0,6382.263158,0,0,51058.10526,0,0,23401.63158,2127.421053,0,0,0,2127.421053,0
"FJ2017097",0,0,0,0,30699.49367,0,0,2558.291139,5116.582278,0,0,0,0,0
"FJ2017098",0,4812.02381,0,0,38496.19048,0,0,0,7218.035714,0,0,0,4812.02381,0
"FJ2018001",0,0,0,0,35319.32039,0,0,0,3924.368932,0,0,0,27470.58252,0
"FJ2018002",0,0,0,0,21654.10714,0,0,14436.07143,7218.035714,0,0,0,75789.375,0
"FJ2018017",0,3484.568966,0,0,48783.96552,0,0,3484.568966,0,0,0,3484.568966,80145.08621,0
"FJ2018019",0,0,0,0,55119.54545,0,0,0,0,0,0,0,69818.09091,0
"FJ2018021",0,0,0,0,32219.63768,0,0,8787.173913,8787.173913,0,0,2929.057971,96658.91304,0
"FJ2018022",0,0,0,0,160765.3409,0,0,0,45932.95455,0,0,9186.590909,312344.0909,0
"FJ2018023",0,0,0,0,22456.11111,0,0,0,0,0,0,2041.464646,0,0
"FJ2018024",0,0,0,0,59442.64706,0,0,3962.843137,3962.843137,0,0,19814.21569,249659.1176,0
"FJ2018036",0,0,912732.2581,0,65195.16129,0,0,0,39117.09677,0,0,39117.09677,234702.5806,0
"FJ2018040",0,0,0,0,134736.6667,0,0,0,26947.33333,0,0,0,229052.3333,0
"FJ2018041",0,0,0,0,123020.4348,0,0,8787.173913,0,0,0,8787.173913,316338.2609,0
"FJ2018042",0,0,0,0,62722.24138,0,0,0,111506.2069,0,0,6969.137931,355426.0345,0
"FJ2018043",76992.38095,0,0,0,96240.47619,0,0,0,38496.19048,0,0,19248.09524,567818.8095,0
"FJ2018045",146351.8966,0,0,0,20907.41379,19165.12931,0,0,6969.137931,0,0,1742.284483,114990.7759,0
"FJ2018046",2861381.316,0,0,0,63822.63158,0,0,0,0,0,0,10637.10526,478669.7368,0
"FJ2018047",1869471.25,0,0,0,50526.25,0,0,50526.25,429473.125,0,0,277894.375,4901046.25,0
"FJ2018062",47554.11765,0,0,0,130773.8235,0,0,11888.52941,118885.2941,0,0,606315,3067240.588,0
"FJ2018063",37426.85185,0,0,0,74853.7037,0,0,29941.48148,112280.5556,0,0,22456.11111,733566.2963,0
"FJ2018065",0,0,1136840.625,1717892.5,429473.125,0,0,0,56842.03125,0,0,6315.78125,448420.4688,0
"FJ2018066",0,0,299414.8148,1317425.185,160935.463,0,0,0,0,0,0,0,224561.1111,0
"FJ2018067",22456.11111,0,0,0,0,0,0,0,179648.8889,0,0,0,4670871.111,0
"FJ2018068",0,0,0,0,67368.33333,0,0,0,0,0,0,0,2540748.571,0
"FJ2018070",36746.36364,0,0,0,128612.2727,0,0,27559.77273,91865.90909,0,0,27559.77273,1635213.182,0
"FJ2018071",0,0,0,0,40421,0,6736.833333,13473.66667,26947.33333,0,0,67368.33333,437894.1667,0
"FJ2018073",0,0,0,0,69959.42308,0,0,0,77732.69231,0,0,0,31093.07692,0
"FJ2018088",0,0,0,153984.7619,38496.19048,0,0,0,38496.19048,0,0,0,134736.6667,0
"FJ2018089",0,7773.269231,77732.69231,0,31093.07692,0,0,0,11659.90385,0,0,11659.90385,7773.269231,0
"FJ2018090",2083.556701,6250.670103,125013.4021,0,154183.1959,0,0,0,41671.13402,0,43754.69072,2083.556701,4167.113402,0
"FJ2018095",0,0,0,16168.4,10105.25,0,0,0,6063.15,0,0,0,38399.95,0
"FJ2019010",0,0,0,0,4870,0,0,0,4870,0,0,2435,104705,0
"FJ2019018",0,0,0,0,8305.684932,0,0,0,0,0,0,0,33222.73973,0
"FJ2019019",0,0,0,0,18713.42593,0,0,0,3742.685185,0,0,0,14970.74074,0
"FJ2019020",0,0,0,0,9624.047619,0,0,0,4812.02381,0,0,0,14436.07143,0
"FJ2019023",0,0,0,0,142662.3529,0,0,23777.05882,95108.23529,0,0,47554.11765,404210,0
"FJ2019024",0,0,0,0,185262.9167,0,0,0,0,117894.5833,0,50526.25,1818945,0
"FJ2019039",0,0,0,0,59882.96296,0,0,0,7485.37037,14970.74074,0,104795.1852,1354852.037,0
"FJ2019040",0,18373.18182,0,0,73492.72727,36746.36364,0,0,0,18373.18182,0,73492.72727,211291.5909,0
"FJ2019041",0,0,0,0,20907.41379,6969.137931,0,0,41814.82759,0,0,0,139382.7586,0
"FJ2019042",0,0,0,0,37894.6875,25263.125,0,0,25263.125,50526.25,0,25263.125,581051.875,0
"FJ2019044",20210.5,0,0,0,202105,0,0,0,0,0,0,20210.5,1535998,0
"FJ2019062",25263.125,12631.5625,0,707367.5,454736.25,0,0,0,63157.8125,0,0,277894.375,568420.3125,0
"FJ2019065",0,0,425484.2105,425484.2105,361661.5789,0,0,0,53185.52632,0,0,0,53185.52632,0
"FJ2019066",0,0,0,173232.8571,245413.2143,0,0,43308.21429,7218.035714,0,0,0,21654.10714,0
"FJ2019070",0,0,0,1361549.474,265927.6316,0,0,0,0,0,0,10637.10526,361661.5789,0
"FJ2019082",0,16842.08333,0,673683.3333,488420.4167,0,0,33684.16667,0,0,0,0,2509470.417,0
"FJ2020009",0,0,0,0,21967.93478,0,0,0,8787.173913,0,0,0,193317.8261,21967.93478
"FJ2020016",0,0,0,0,26361.52174,0,0,0,0,0,0,8787.173913,114233.2609,0
