"","Depth","Transparency","WT","pH","DO","Chla","Turbidity","EC","ORP","TC","TOC","TN","NH4.N","NO3.N","NO2.N","TP","PO4.P","TSIc","group"
"FJ2015024",10.5,95,20.4,8.21,9.56,15.8,8.5,39.5,404,4.758,1.815,1.58012,0.04749,1.13331,0.02492,0.06324,0.00812,59.6080597288791,"high"
"FJ2015031",10.9,87,21.67,8.21,9.19,7.48,11.7,40,427,4.631,1.406,1.21051,0.02004,0.95654,0.01654,0.05149,0.00416,55.5401355415195,"high"
"FJ2015041",10.9,61,26.75,8.13,9.07,9.44,16.1,38.5,403,5.917,2.294,1.15917,0.05846,0.71511,0.01486,0.05541,0.00416,58.4648873629035,"high"
"FJ2015042",11.7,66,25.92,8.62,10.76,13.89,9.4,45.9,406,6.161,2.901,1.64685,0.03925,1.08373,0.01486,0.0652,0.00515,60.5560674060047,"high"
"FJ2015043",17.2,39,23.93,7.35,5.88,3.98,45.2,36.3,469,8.398,5.944,1.71359,0.09963,1.08373,0.08189,0.11612,0.01603,57.5430741442921,"high"
"FJ2015044",20.3,104,27.96,7.43,9.84,5.5,9.8,33.5,393,11.22,5.348,1.75979,0.05297,1.31224,0.00928,0.04757,0.00119,52.9612789548985,"high"
"FJ2015051",31.7,97,28.44,8.88,9.04,4.21,10.8,24.7,316,4.882,1.743,1.44665,0.03102,1.03846,0.00509,0.03974,0.00218,51.4208587743423,"high"
"FJ2015071",32.5,162,28.37,8.14,8.8,14.42,4.7,18.8,361,5.998,3.138,1.0411,0.08316,0.75391,0.0055,0.02603,0.00317,54.7532402306829,"high"
"FJ2015073",31.5,128,29.18,8.27,10.23,15.68,5,21,350,7.6235,4.457,0.98463,0.00632,0.57499,0.00942,0.02211,0.00119,55.8215299814608,"high"
"FJ2015074",31.7,128,27.89,8.34,9.4,26.6,4.7,19.5,371,7.2955,3.7505,0.88196,0.00358,0.51031,0.00886,0.02603,0.00119,59.0049808133205,"high"
"FJ2016026",30.3,184,22.86,8.42,11.23,6.13,5.1,22.6,351,5.895,1.85,1.0411,0.02279,0.73451,0.00676,0.04365,0.00317,50.8918262348003,"high"
"FJ2016040",31.6,117,24.43,9.23,11.46,15.06,31.2,22.6,419,6.567,2.711,0.95896,0.11884,0.64181,0.01137,0.03778,0.00515,57.2516358293579,"high"
"FJ2016041",31.8,107,27.04,9.58,10.19,7.6,6.6,23.9,437,6.08,2.593,1.00003,0.03102,0.55774,0.01039,0.02015,0.00515,52.5337106229229,"high"
"FJ2016056",30.3,162,28.95,8.47,8.64,7.59,4,42.4,268,4.67,1.554,0.79983,0.02553,0.50816,0.00313,0.02799,0.00218,51.52408852462,"high"
"FJ2016066",31.6,198,29.74,7.78,8.4,7.16,0,17.3,308,3.338,1.126,0.77929,0.042,0.50385,0.00732,0.02407,0.00812,50.0016713263287,"high"
"FJ2016084",32.4,90,25.45,7,8.62,3.97,5.3,10.1,464,3.176,0.9945,1.10276,0.05297,0.78409,0.00257,0.03582,0.00614,51.1863804291849,"high"
