,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.36961,0.01175,0.171428571,0.333333333,0.068181818,0,0
2,0.42095,0.00783,0.220897616,0.171428571,0.138461538,0,0.166666667
3,0.06673,0.00196,0.070440252,0.089285714,0.297619048,0,0.166666667
4,0.13347,0.05288,0.108974359,0.083333333,0.028571429,0.5,0
5,0.17967,0.01567,0.071428571,0.053571429,0.097902098,0.333333333,0
6,0.13347,0.0235,0.021929825,0.053571429,0.018099548,0.333333333,0.166666667
7,0.53902,0.03721,0.076109937,0.666666667,0,0,0.5
8,0.59549,0.04113,0.106068332,0.833333333,0.009803922,0.5,0.166666667
9,0.69816,0.03721,0.062831497,0.053571429,0.043269231,0.5,0.166666667
10,0.53902,0.01959,0.014673046,0,0.043269231,0.6,0.166666667
11,0.62116,0.02546,0.016666667,0.171428571,0.114285714,0.333333333,0.166666667
12,0.58009,0.04309,0.080534022,0.19047619,0.051282051,0.6,0
13,0.78029,0.03525,0.005120328,0.214285714,0.727272727,0.333333333,0.142857143
14,0.80083,0.03917,0.02962963,0.214285714,0.119047619,0.5,0.166666667
15,0.47736,0.02742,0.042711864,0.5,0.072727273,0,0
16,0.86243,0.03917,0.005347594,0.075,0,0.083333333,0
17,0.82136,0.04309,0.019396552,0.075,0.197802198,0.5,0
18,0.91377,0.04309,0.047601875,0.053571429,0.043269231,0.333333333,0
19,0.9959,0.03917,0.033018868,0.214285714,0.119047619,0,0
20,0.9343,0.03917,0.058130699,0.171428571,0.107142857,0.083333333,0
21,1.0267,0.03525,0.060818713,0.5,0.123076923,0.333333333,0
22,0.74949,0.03525,0.039880359,0.095238095,0.071428571,0.133333333,0.142857143
23,0.94457,0.03917,0.030904359,0.053571429,0.097402597,0.133333333,0.166666667
24,0.85216,0.03525,0.006497175,0.095238095,0,0.133333333,0.142857143
25,0.8111,0.03917,0.106918239,0.333333333,0.114285714,0.5,0
26,0.8419,0.03917,0.064031621,0.053571429,0.909090909,0.5,0.095238095
27,0.74949,0.02546,0.039880359,0.214285714,0.197802198,0.5,0.142857143
28,0.68789,0.02546,0.006010929,0.171428571,0.197802198,0.5,0.142857143
29,0.60576,0.02154,0.032619124,0.5,0.35,0.133333333,0
30,0.59549,0.02546,0.035809019,0.171428571,0.072727273,0.5,0
31,0.63656,0.02938,0.108974359,0.053571429,0.114285714,0,0
32,0.55442,0.02742,0.080534022,0.666666667,0.066666667,0.5,0.142857143
