,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
1,0.36961,0.01175,0.228571429,0,0.181818182,0,0
2,0.42095,0.00783,0.322580645,0.4,0.4,0,0
3,0.06673,0.00196,0.533333333,0.285714286,0.285714286,0,0
4,0.13347,0.05288,0.564102564,0.666666667,0.571428571,0,0.285714286
5,0.17967,0.01567,0.714285714,0.571428571,0.363636364,0,0
6,0.13347,0.0235,0.561403509,0.571428571,0.923076923,0,0
7,0.53902,0.03721,0.651162791,0,1,0,0
8,0.59549,0.04113,0.648648649,0,0.823529412,0,0
9,0.69816,0.03721,0.744186047,0.571428571,0.769230769,0,0
10,0.53902,0.01959,0.581818182,0.285714286,0.769230769,0,0
11,0.62116,0.02546,0.666666667,0.4,0.6,0,0
12,0.58009,0.04309,0.604651163,0.666666667,0.615384615,0,0.285714286
13,0.78029,0.03525,0.677419355,0.5,0,0,0
14,0.80083,0.03917,0.703703704,0.5,0.666666667,0,0
15,0.47736,0.02742,0.72,0,0.727272727,0,0
16,0.86243,0.03917,0.818181818,0.8,1,0.666666667,0.285714286
17,0.82136,0.04309,0.793103448,0.8,0.571428571,0,0.285714286
18,0.91377,0.04309,0.765957447,0.571428571,0.769230769,0,0.285714286
19,0.9959,0.03917,0.716981132,0.5,0.666666667,0.666666667,0.285714286
20,0.9343,0.03917,0.638297872,0.4,0.75,0.666666667,0.285714286
21,1.0267,0.03525,0.711111111,0,0.8,0,0
22,0.74949,0.03525,0.705882353,0.333333333,0.5,0.666666667,0
23,0.94457,0.03917,0.641509434,0.571428571,0.545454545,0.666666667,0
24,0.85216,0.03525,0.610169492,0.333333333,0.705882353,0.666666667,0
25,0.8111,0.03917,0.666666667,0,0.6,0,0.285714286
26,0.8419,0.03917,0.608695652,0.571428571,0,0,0.333333333
27,0.74949,0.02546,0.705882353,0.5,0.571428571,0,0
28,0.68789,0.02546,0.633333333,0.4,0.571428571,0,0
29,0.60576,0.02154,0.679245283,0,0.4,0.666666667,0.285714286
30,0.59549,0.02546,0.653846154,0.4,0.727272727,0,0.285714286
31,0.63656,0.02938,0.564102564,0.571428571,0.6,0.666666667,0.285714286
32,0.55442,0.02742,0.604651163,0,0.666666667,0,0
33,0.21561,0.02742,0.679245283,0.333333333,0.75,0,0
34,0.18481,0.01959,0.654545455,0,0.666666667,0,0
35,0.04107,0.0235,0.655737705,0,0.6,0,0.285714286
36,0.02054,0.01959,0.653061224,0.333333333,0.666666667,0,0
37,0.0308,0.01567,0.653061224,0.333333333,0.769230769,0,0
38,0.26694,0.01567,0.724137931,0,0.666666667,0,0
39,0.26694,0,0.620689655,0.4,0.666666667,0,0
40,0.45175,0.0235,0.680851064,0,0.625,0,0
41,0.45175,0.03525,0.633333333,0.333333333,0.545454545,0,0.333333333
42,0.43122,0.03525,0.701754386,0.285714286,0.714285714,0,0
43,0.69816,0.02742,0.709677419,0.4,0.6,0,0.285714286
44,0.56469,0.0235,0.620689655,0.5,0.625,0,0
45,0.52362,0.02742,0.714285714,0.5,0.666666667,0,0
46,0.63656,0.02742,0.666666667,0.5,0.705882353,0,0
47,0.45175,0.03917,0.681818182,0.285714286,0.714285714,0,0
48,0.59549,0.04309,0.681818182,0.4,0.777777778,0,0
49,0.49412,0.03134,0.736842105,0.5,0.777777778,0,0
50,0.45512,0.03525,0.545454545,0,0.777777778,0,0
51,0.21561,0.02742,0.604651163,0.5,0.777777778,0,0
52,0.30801,0.02742,0.714285714,0.5,0.777777778,0,0
53,0.31828,0.03134,0.714285714,0,0.842105263,0,0
54,0.42095,0.03525,0.666666667,0,0.714285714,0,0
55,0.36961,0.03917,0.681818182,0.5,0.833333333,0,0
56,0.36961,0.03917,0.721311475,0.5,0.8,0,0
57,0.24641,0.03917,0.595744681,0,0.571428571,0,0
58,0.41068,0.03525,0.611111111,0,0.888888889,0,0
59,0.42095,0.03525,0.647058824,0,0.8,0,0
60,0.32855,0.03917,0.606060606,0,0.5,0,0
61,0.36961,0.03525,0.685714286,0,0,0,0
62,0.28748,0.03134,0.516129032,0.333333333,0,0,0
63,0.32912,0.0235,0.611111111,0.4,0.666666667,0,0
64,0.17454,0.02742,0.65,0.333333333,0.888888889,0,0
65,0.28748,0.0235,0.692307692,0.5,0.5,0,0.285714286
66,0.24641,0.01567,0.8,0,0.666666667,0,0.285714286
67,0.20512,0.00024,0.682926829,0.285714286,0.666666667,0,0.285714286
68,0.49312,0.02324,0.7,0.4,0.615384615,0,0
69,0.62852,0.03924,0.697674419,0.285714286,0.833333333,0,0
70,0.59962,0.00824,0.714285714,0.333333333,0.8,0,0
71,0.63172,0.04406,0.727272727,0.333333333,0.833333333,0,0.285714286
72,0.40282,0.04406,0.628571429,0,0.4,0,0.285714286
73,0.72896,0.04309,0.684210526,0.571428571,0.666666667,0,0
74,0.63656,0.03917,0.652173913,0.4,0.666666667,0,0
75,0.52122,0.03581,0.703703704,0,0.8,0,0.285714286
76,0.05134,0.00392,0.424242424,0.666666667,0.545454545,0,0
77,0.43634,0.01371,0.523809524,0,0.285714286,0,0
78,0.50308,0.06463,0.564102564,0.666666667,0.571428571,0,0.285714286
79,0.54928,0.00392,0.65,0.4,0.5,0,0
80,0.23614,0.01175,0.558139535,0.666666667,0.833333333,0,0
