"","Anuraeopsis_fissa","Asplanchna_priodonta","Brachionus_angularis","Brachionus_calyciflorus","Brachionus_diversicornis","Brachionus_falcatus","Brachionus_forficula","Brachionus_donneri_bifurcus_","Conochilus_univornis","Fillnia_longiseta","Hexarthra_mira","Keratella_cochlearis","Keratella_valga","Notholca_fujianensis","Ploesoma_hudsoni","Ploesoma_truncatum","Polyarthra_trigla","Polyarthra_euryptera","Synchaeta_stylata","Trichocerca_capucina","Trichocerca_longiseta","Trichocerca_similis","Trichocerca_cylindrica","Fillnia_opoliensis"
"FJ2015024",0,10.1333,0,0.1333,2.9333,0,0,0,0,5.6,0,0,0.1333,10.6667,0,0,1.6,0,154.2667,0.9333,0,0.1333,0.2667,0
"FJ2015031",0,17.7333,0,0,8.4,0,0,0,0,0,0,0.1333,0.1333,0.4,0,0,3.7333,0,8.4,0.2667,0,0.2667,0.1333,0
"FJ2015041",0,17.4,1,0.2,12,0.4,0,0,0,0,0,0,0,0.2,0,0,0.2,0,29.8,0,0,0,0,0
"FJ2015042",0,9.2,6.4,0,2.8,0,0,0,0,0,0,0,0,0.2,0,0,1.6,0,85.4,0,0,0,0,0
"FJ2015043",0,0,1,0,0.6,0,0.2,0,0.4,0,0,0,0.8,0.4,0,0,0.2,0,2,0,0.2,0.4,0,0
"FJ2015044",0,10.2,4,0.2,4,0,5.6,0,0,0,0,0,0,0,0,0,0.6,0,182,0.2,0,0.2,0,0
"FJ2015051",0,0,0.1333,0,0.1333,15.7333,0.4,0,0,0,0,0.2667,0,0,0.4,0,0,0,0,0,0.1333,0,0,0
"FJ2015071",0,0,0,0,0,0.3333,0,0,1.2667,0,0,0.0667,0,0,0,0.0667,0,0,0,0,0,0,0,0
"FJ2015072",1,0,0,0,0,2,0.2,0,0.6,0,0,0.4,3,0,0.2,0.2,0,0,0,3,0,0.2,0,0
"FJ2015073",0,0,0,0,0,0,0.6,0,29.8,0,0,7.6,0,0.2,0,3.6,0.2,1.6,0,7.4,0,0,0,0
"FJ2016023",0.2333,0,0,0,0,0,0,0,0,0,1.1667,9.1,0,0,0.2333,0,2.3333,20.7667,13.7667,0,0,10.5,0,0
"FJ2016039",0,0.2778,0,0,0,0,0,0,0,0,0,2.2222,0,0,1.3889,0,0.2778,1.1111,0.8333,0.5556,0,0,0,0
"FJ2016040",0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0.1333,0.1333,0,0,0.1333,0.2667,0.1333,0.4,0.1333,0.1333,0
"FJ2016047",0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.0667,0,0
"FJ2016065",0.1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1389,0,0,0,0.0694,2.5,0.4167,0.0694,0,0
"FJ2016080",0,0,0,0,0,0.2,0,0,0,0,0,4.5,0,0,0.1,0,0,0,12.5,0.2,0,0.2,0,0.1
"FJ2017071",0,0,0,0,0,0,0.1,1.8,0,0,0,0.1,0,0,0.1,0,0,0,0,0,4.4,0,0,0
"FJ2017072",0,0.1333,0,0,0,0,0,1.3333,0,0,0,0,0.4,0,0,0,0,0,0,0.1333,2.8,0,0,0
"FJ2017073",0.1333,0,0,0,0,0,0,7.6,0.1333,0,0,0.1333,1.0667,0,0,0,0,0,0,6.1333,1.6,0.1333,0,0
"FJ2017074",0,0,0.4,0,0,0.1333,0,1.2,0,0,0,0,0.4,0,0,0,0,0,0,4.8,0,0.8,0,0
"FJ2017075",0,0,0.55,0,0,0,0,1.05,0,0,0,0.25,0,0,0,0,0,0,0,0.95,0,0.25,0,0
"FJ2017090",0,0,0.8167,0,0,0,0,3.0333,0,0,0,0,0,0,0,0,0,0,0,0.1167,0,0,0,0
"FJ2017091",0,0,0.2,0,0,0,0,3.6,0,0.2,0,0.1,0.6,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0
"FJ2017092",0,0,0.1333,0,0,0,0,1.9333,0,0.1333,0,0.1333,0,0.1333,0,0,0.5333,0,1.8667,0,0,0.0667,0,0
"FJ2017093",0,0,0.0667,0.0667,0,0,0,0.4,0,0,0.1333,0.1333,0,0,0,0,0.1333,0,2.4667,0.2,0.0667,0.0667,0,0.0667
"FJ2017094",0,0,0,0,0,0,0,0.2,0,0.1,0,0.2,0,0.2,0,0,0,0,0.8,0,0.1,0,0.1,0
"FJ2017096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889,0,0,0,0,0
"FJ2017097",0,0,0,0,0,0,0,0.0833,0,0,0,0.0833,0,0.0833,0,0,0,0,0.1667,0.0833,0,0,0,0
"FJ2017098",0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.9,0,0,0,0,3.4,0,0.2,0,0,0
"FJ2018001",0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.6,0,0,0,0,0
"FJ2018002",0,0.0167,0,0,0,0,0,0.0167,0,0.0167,0,0.0667,0,0,0.0167,0,0,0,0,0,0.0167,0.0167,0,0
"FJ2018017",0.45,9.95,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0.1,0.05,0,0.05,0,0
"FJ2018019",1.9,7.7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,1.4,0.1,0.1,0.1,0,0
"FJ2018021",0,0.9778,0,0,0,0,0,1.5111,0,0,0,0,0,0,0,0.1778,0,0,1.4222,0,0.0889,0,0,0
"FJ2018022",0.4,0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0.2,0,0
"FJ2018023",0.6667,0.25,0.5,0.3333,0.0833,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,1.75,0,0,0,0,0
"FJ2018024",1.8667,1.1667,1.8667,2.3333,9.1,0,0,0,0,0,0,0.2333,0,0,0.2333,0,0,0,0.9333,0.2333,0.2333,0,0,0
"FJ2018036",1.7,0.5,0.7,0,0.3,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0.1,0.5,0,0,0,0,0
"FJ2018040",0,8,1.6667,0.1667,0.1667,0,0.6667,0,0,0,0,0.5,0,0,0,0,0,0,0.1667,0,0.1667,0,0,0
"FJ2018041",0.5,1.25,0.5833,0,0.4167,0,0,0,1.0833,0,0,1,0,0,0,0,0,0,0.5,0,0,0.0833,0,0
"FJ2018042",0.2667,0.2667,0.2667,0.1333,2.1333,0,0,0,0.1333,0,0,0,0.1333,0,0.2667,0,3.7333,0,0,0,0.6667,0.1333,0,0
